AnnaSophia Robb
Julia Winter
Jordan Fry
Philip Wiegratz
James Fox
Franziska Troegner
Missi Pyle
Deep Roy
Bruce Berman
Richard D. Zanuck
Brad Grey
Roald Dahl
John August
Philippe Rousselot
Susie Figgis
Alex McDowell
Gabriella Pescucci
Bill Abbott
Bob Weinstein
Mark Ordesky
Saul Zaentz
Michael Lynne
Andrew Lesnie
Grant Major
John Gilbert
Joe Bleakley
Philip Ivey
Rob Outterside
Mark Robins
Alan Lee
John Howe
Ngila Dickson
Richard Taylor
Victoria Burrows
John Hubbard
Liz Mullane
Ian McKellen
Sean Astin
Billy Boyd
Dominic Monaghan
Hugo Weaving
Craig Parker
Andy Serkis
Feng Li
Wang Bin
Jet Li
Tony Leung Chiu-Wai
Maggie Cheung
Zhang Ziyi
Chen Daoming
Donnie Yen
Liu Zhong Yuan
Zheng Tia Yong
Yan Qin
Chang Xiao Yang
Bertrand Lenclos
Philip Lee
Shoufang Dou
Irène Jacob
William Kong
Jean-Louis Trintignant
Zhang Weiping
Frédérique Feder
Zhenyan Zhang
Jean-Pierre Lorit
Christopher Doyle
Tingxiao Huo
Dun Tan
Angie Lam
Vincent Lee
Ru Zhai
Zhenzhou Yi
Lawrence Makoare
Sala Baker
Alan Howard
Bernard Hill
Brad Dourif
David Wenham
Karl Urban
Dan Hennah
Elizabeth Fraser
Michael Horton
Jabez Olssen
Jacek Petrycki
Krystyna Rutkowska
Jacek Szeligowski
John Noble
Paul Norell
Thomas Robins
Grażyna Szapołowska
Maria Pakulnis
Jerzy Radziwiłowicz
Artur Barciś
Jamie Selkirk
Krzysztof Krzemiński
Witold Stok
Wacław Ulewicz
Mirosław Siedler
Paweł Nowisz
Hanna Krall
Krzysztof Pakulski
Jan Kanty Pawluskiewicz
Andrzej Rafal Waltenberger
Wojciech Kilar
Elżbieta Kurkowska
Zbigniew Zapasiewicz
Marzena Trybała
Adam Ferency
Tadeusz Łomnicki
Goro Miyazaki
Ursula K. Le Guin
Keiko Niwa
Toshio Suzuki
Albert Maysles
Robert Drew
Porter Bibb
Roland Schneider
Joanne Burke
Robert Farren
Ellen Giffard
Kent McKinney
Mick Jagger
Charlie Watts
Keith Richards
Bill Wyman
Mick Taylor
Marty Balin
Sonny Barger
Melvin Belli
Dick Carter
Jack Casady
Mike Clarke
Sam Cutler
Spencer Dryden
Jerry Garcia
Chris Hillman
Meredith Hunter
Paul Kantner
Jorma Kaukonen
Pete Kleinow
Michael Lang
Bernie Leadon
Phil Lesh
Gram Parsons
Alan Passaro
Rock Scully
Michael Shrieve
Grace Slick
Frank Terry
Ike Turner
Tina Turner
Ian Stewart
George Clooney
Tim Blake Nelson
Chris Thomas King
Charles Durning
Del Pentecost
J.R. Horne
Brian Reddy
Wayne Duvall
Ed Gale
Ray McKinnon
Daniel von Bargen
Mia Tate
Musetta Vander
Christy Taylor
Charlotte Zwerin
Millford Fortenberry
Frank Collison
Quinn Gasaway
Lee Weaver
John Cameron
T Bone Burnett
Ellen Chenoweth
Bob Dylan
Albert Grossman
Bob Neuwirth
Joan Baez
Alan Price
Tito Burns
Donovan
Derroll Adams
John Court
Tod Browning
Irving Thalberg
Merritt B. Gerstad
Basil Wrangell
Al Boasberg
Willis Goldbeck
Leon Gordon
Edgar Allan Woolf
Leila Hyams
Olga Baclanova
Roscoe Ates
Henry Victor
Harry Earles
Daisy Earles
Rose Dione
Daisy Hilton
Violet Hilton
Schlitzie
Josephine Joseph
Frances O'Connor
Koo Koo
Prince Randian
Johnny Eck
Peter Robinson
Harold Ramis
Trevor Albert
Danny Rubin
John Bailey
George Fenton
David Nichols
Howard Feuer
Pembroke J. Herring
Bill Murray
Andie MacDowell
Chris Elliott
Brian Doyle-Murray
Marita Geraghty
Angela Paton
Rick Ducommun
Rick Overton
Robin Duke
Carol Bivins
Willie Garson
Scooter
Bram Stoker
Hamilton Deane
John L. Balderston
Bela Lugosi
Helen Chandler
Dwight Frye
Edward Van Sloan
Philip Glass
Milton Carruth
Maurice Pivar
E. M. Asher
Carl Laemmle Jr.
Søren Kragh-Jacobsen
Birgitte Hald
Morten Kaufmann
Iben Hjejle
Jesper Asholt
Sofie Gråbøl
Emil Tarding
Anders Hove
Mette Bratlann
Susanne Storm
Ellen Hillingsø
Anthony Dod Mantle
Morten Degnbol
Hans Møller
Stine Bruel
Vagn Rose
Peter Darling
Richard Kelly
Holmes Osborne
Maggie Gyllenhaal
Daveigh Chase
Mary McDonnell
James Duval
Arthur Taxier
Mark Hoffman
Patience Cleveland
Adam Fields
